sku,model,mae,mse,rmse,mape
SKU_01,moving_avg_7,3.765221088435374,23.526445578231293,4.850406743586696,31.927238241996953
SKU_01,naive,4.925595238095238,40.269642857142856,6.345836655409817,39.53987729440456
SKU_01,ridge_recursive,6.489621162955359,65.61351989175552,8.100217274354776,50.15003889388985
SKU_02,moving_avg_7,33.185544217687074,1748.3811224489793,41.81364756211755,13.996790012868207
SKU_02,naive,42.16904761904762,2949.697619047619,54.31111874236821,17.04268730444595
SKU_02,ridge_recursive,26.690458699558636,1266.4244436402391,35.58685773765702,9.87416861174544
SKU_03,moving_avg_7,1482.1058673469388,3207581.860969388,1790.9723227815075,14.69560935984716
SKU_03,naive,1915.7541666666666,5612274.416071429,2369.023937420521,18.96112744555892
SKU_03,ridge_recursive,878.7752305487975,1365165.429935835,1168.4029398866792,8.75507644708148
SKU_04,moving_avg_7,231.40085034013603,114960.37414965987,339.0580689935868,12.630238013177753
SKU_04,naive,236.78809523809525,146762.94523809524,383.0965220908371,12.920632359068765
SKU_04,ridge_recursive,233.7231668975855,124527.59576329733,352.88467771114307,13.370300434721202
SKU_05,moving_avg_7,88.43086734693877,16296.922534013605,127.65940049214396,25.86072018980537
SKU_05,naive,115.9172619047619,26732.41488095238,163.50050422231848,29.055627173972077
SKU_05,ridge_recursive,128.91345076887652,33017.50340499712,181.70719139592995,37.54808215914293
